#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
4188265704 ; 0.00225221 ; 3.29956 ; 0 ; 0
4188372704 ; 0.000630967 ; 3.29681 ; 0 ; 0
4188474704 ; 0.00108492 ; 3.29659 ; 0 ; 0
4188576704 ; 0.00132906 ; 3.29681 ; 0 ; 0
4188688704 ; 0.000989549 ; 3.29674 ; 0 ; 0
4188782704 ; 0.00116121 ; 3.29941 ; 0 ; 0
4188881704 ; 0.000901811 ; 3.29666 ; 0 ; 0
4188978704 ; 0.0006653 ; 3.29689 ; 0 ; 0
4189077704 ; 0.00185167 ; 3.29697 ; 0 ; 0
4189176704 ; 0.00204622 ; 3.29826 ; 0 ; 0
4189289704 ; 0.00100481 ; 3.29659 ; 0 ; 0
4189401704 ; 0.00118028 ; 3.29666 ; 0 ; 0
4189512704 ; 0.000756852 ; 3.2972 ; 0 ; 0
4189628704 ; 0.000829332 ; 3.29666 ; 0 ; 0
4189733704 ; 0.00215685 ; 3.29697 ; 0 ; 0
4189837704 ; 0.00142824 ; 3.2991 ; 0 ; 0
4189940704 ; 0.00155031 ; 3.29674 ; 0 ; 0
4190058704 ; 0.00078737 ; 3.29674 ; 0 ; 0
4190166704 ; 0.00166475 ; 3.29651 ; 0 ; 0
4190276704 ; 0.00140917 ; 3.29666 ; 0 ; 0
4190385704 ; 0.00147402 ; 3.29681 ; 0 ; 0
4190481704 ; 0.0011841 ; 3.29803 ; 0 ; 0
4190581704 ; 0.00119173 ; 3.29674 ; 0 ; 0
4190679704 ; 0.00145876 ; 3.29659 ; 0 ; 0
4190781704 ; 0.000749223 ; 3.29666 ; 0 ; 0
4190880704 ; 0.00131761 ; 3.29742 ; 0 ; 0
4190993704 ; 0.00143968 ; 3.29681 ; 0 ; 0
4191089704 ; 0.000863664 ; 3.29674 ; 0 ; 0
4191188704 ; 0.00118791 ; 3.29872 ; 0 ; 0
4191296704 ; 0.00123369 ; 3.29674 ; 0 ; 0
4191394704 ; 0.0017029 ; 3.29681 ; 0 ; 0
4191503704 ; 0.00192796 ; 3.2962 ; 0 ; 0
4191613704 ; 0.00156938 ; 3.29651 ; 0 ; 0
4191730704 ; 0.00085222 ; 3.29681 ; 0 ; 0
4191834704 ; 0.000836961 ; 3.29689 ; 0 ; 0
4191950704 ; 0.000890367 ; 3.29773 ; 0 ; 0
4192064704 ; 0.00221025 ; 3.29681 ; 0 ; 0
4192162704 ; 0.00220262 ; 3.29727 ; 0 ; 0
4192260704 ; 0.00154268 ; 3.29681 ; 0 ; 0
4192360704 ; 0.00148546 ; 3.29926 ; 0 ; 0
4192466704 ; 0.00176012 ; 3.29681 ; 0 ; 0
4192574704 ; 0.00123369 ; 3.29666 ; 0 ; 0
4192675704 ; 0.000745408 ; 3.29689 ; 0 ; 0
4192777704 ; 0.00097429 ; 3.29918 ; 0 ; 0
4192888704 ; 0.000596635 ; 3.29712 ; 0 ; 0
4192990704 ; 0.00120699 ; 3.29941 ; 0 ; 0
4193089704 ; 0.00100862 ; 3.29666 ; 0 ; 0
4193186704 ; 0.00059282 ; 3.29865 ; 0 ; 0
4193297704 ; 0.00227129 ; 3.29636 ; 0 ; 0
4193397704 ; 0.000859849 ; 3.29735 ; 0 ; 0
4193492704 ; 0.000913255 ; 3.29903 ; 0 ; 0
4193605704 ; 0.00229799 ; 3.29681 ; 0 ; 0
4193715704 ; 0.00193178 ; 3.29689 ; 0 ; 0
4193831704 ; 0.00119936 ; 3.29674 ; 0 ; 0
4193949704 ; 0.0012375 ; 3.29659 ; 0 ; 0
4194057704 ; 0.00186693 ; 3.29659 ; 0 ; 0
4194166704 ; 0.00123369 ; 3.29697 ; 0 ; 0
4194271704 ; 0.00124513 ; 3.29689 ; 0 ; 0
4194379704 ; 0.00135576 ; 3.29666 ; 0 ; 0
4194489704 ; 0.00126039 ; 3.29666 ; 0 ; 0
4194587704 ; 0.00112306 ; 3.29674 ; 0 ; 0
4194686704 ; 0.00110018 ; 3.29666 ; 0 ; 0
4194785704 ; 0.000569932 ; 3.29681 ; 0 ; 0
4194887704 ; 0.00105058 ; 3.29689 ; 0 ; 0
4194984704 ; 0.00106966 ; 3.29636 ; 0 ; 0
4195096704 ; 0.00149309 ; 3.29674 ; 0 ; 0
4195204704 ; 0.00145113 ; 3.29659 ; 0 ; 0
4195313704 ; 0.00111925 ; 3.29689 ; 0 ; 0
4195427704 ; 0.00180208 ; 3.29681 ; 0 ; 0
4195532704 ; 0.00168382 ; 3.3004 ; 0 ; 0
4195649704 ; 0.00084459 ; 3.29659 ; 0 ; 0
4195753704 ; 0.00122987 ; 3.29636 ; 0 ; 0
4195868704 ; 0.00146257 ; 3.29666 ; 0 ; 0
4195973704 ; 0.00112306 ; 3.29674 ; 0 ; 0
4196077704 ; 0.00120317 ; 3.29666 ; 0 ; 0
4196185704 ; 0.000875108 ; 3.29651 ; 0 ; 0
4196288704 ; 0.00162279 ; 3.29674 ; 0 ; 0
4196390704 ; 0.000798814 ; 3.2972 ; 0 ; 0
4196488704 ; 0.00134813 ; 3.29849 ; 0 ; 0
4196588704 ; 0.00116502 ; 3.29689 ; 0 ; 0
4196687704 ; 0.00112306 ; 3.29666 ; 0 ; 0
4196786704 ; 0.00205003 ; 3.29666 ; 0 ; 0
4196887704 ; 0.00103533 ; 3.29681 ; 0 ; 0
4196988704 ; 0.00130235 ; 3.29712 ; 0 ; 0
4197087704 ; 0.000905626 ; 3.29666 ; 0 ; 0
4197189704 ; 0.000985734 ; 3.29681 ; 0 ; 0
4197287704 ; 0.000989549 ; 3.29666 ; 0 ; 0
4197387704 ; 0.00182878 ; 3.29651 ; 0 ; 0
4197485704 ; 0.0010277 ; 3.29666 ; 0 ; 0
4197584704 ; 0.000745408 ; 3.29704 ; 0 ; 0
4197684704 ; 0.00072252 ; 3.29643 ; 0 ; 0
4197787704 ; 0.00218355 ; 3.29643 ; 0 ; 0
4197889704 ; 0.00189745 ; 3.29674 ; 0 ; 0
4197989704 ; 0.00185167 ; 3.29666 ; 0 ; 0
4198089704 ; 0.00140154 ; 3.29674 ; 0 ; 0
4198189704 ; 0.000859849 ; 3.29651 ; 0 ; 0
4198289704 ; 0.000424974 ; 3.29659 ; 0 ; 0
4198391704 ; 0.00180208 ; 3.29666 ; 0 ; 0
4198489704 ; 0.00151216 ; 3.29987 ; 0 ; 0
4198587704 ; 0.0015732 ; 3.29643 ; 0 ; 0
4198688704 ; 0.00177156 ; 3.29704 ; 0 ; 0
4198802704 ; 0.00091707 ; 3.29681 ; 0 ; 0
