#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
905989408 ; 0.00078737 ; 3.29689 ; 0 ; 0
906155408 ; 0.00119936 ; 3.29674 ; 0 ; 0
906307408 ; 0.000749223 ; 3.29659 ; 0 ; 0
906474408 ; 0.00178682 ; 3.2972 ; 0 ; 0
906633408 ; 0.000714891 ; 3.29689 ; 0 ; 0
906789408 ; 0.00118791 ; 3.29651 ; 0 ; 0
906966408 ; 0.000959031 ; 3.29659 ; 0 ; 0
907129408 ; 0.00134813 ; 3.29659 ; 0 ; 0
907296408 ; 0.00124513 ; 3.29681 ; 0 ; 0
907475408 ; 0.00132524 ; 3.29689 ; 0 ; 0
907633408 ; 0.000421159 ; 3.29666 ; 0 ; 0
907789408 ; 0.00139772 ; 3.29666 ; 0 ; 0
907961408 ; 0.00132143 ; 3.29666 ; 0 ; 0
908114408 ; 0.00110399 ; 3.29666 ; 0 ; 0
908278408 ; 15.2289 ; 3.29887 ; 0 ; 0
908442408 ; 15.2387 ; 3.2991 ; 0 ; 0
908595408 ; 15.28 ; 3.2991 ; 0 ; 0
908759408 ; 15.2874 ; 3.2991 ; 0 ; 0
908926408 ; 15.2874 ; 3.29941 ; 0 ; 0
909084408 ; 0.00179445 ; 3.29712 ; 0 ; 0
909239408 ; 0.00206911 ; 3.29979 ; 0 ; 0
909413408 ; 0.000863664 ; 3.29697 ; 0 ; 0
909574408 ; 0.00143587 ; 3.29674 ; 0 ; 0
909736408 ; 26.3589 ; 3.30391 ; 0 ; 0
909906408 ; 26.4502 ; 3.30185 ; 0 ; 0
910063408 ; 26.4697 ; 3.30345 ; 0 ; 0
910233408 ; 0.00192796 ; 3.29773 ; 0 ; 0
910402408 ; 0.000886552 ; 3.2975 ; 0 ; 0
910552408 ; 0.00133287 ; 3.29697 ; 0 ; 0
910728408 ; 0.000562303 ; 3.29681 ; 0 ; 0
910893408 ; 0.000745408 ; 3.29674 ; 0 ; 0
911051408 ; 37.2917 ; 3.30452 ; 0 ; 0
911226408 ; 37.3428 ; 3.30467 ; 0 ; 0
911387408 ; 37.3781 ; 3.30475 ; 0 ; 0
911543408 ; 0.00145494 ; 3.29735 ; 0 ; 0
911721408 ; 0.000531785 ; 3.29796 ; 0 ; 0
911888408 ; 0.00170671 ; 3.29712 ; 0 ; 0
912045408 ; 0.00126802 ; 3.29987 ; 0 ; 0
912222408 ; 47.9785 ; 3.3065 ; 0 ; 0
912370408 ; 48.0942 ; 3.3065 ; 0 ; 0
912534408 ; 48.1258 ; 3.30711 ; 0 ; 0
912675408 ; 48.1599 ; 3.30696 ; 0 ; 0
912841408 ; 0.00146639 ; 3.29742 ; 0 ; 0
912992408 ; 0.00167238 ; 3.29712 ; 0 ; 0
913159408 ; 0.000390641 ; 3.29727 ; 0 ; 0
913317408 ; 0.000726335 ; 3.29697 ; 0 ; 0
913474408 ; 59.3082 ; 3.30818 ; 0 ; 0
913637408 ; 59.4153 ; 3.30811 ; 0 ; 0
913783408 ; 59.4859 ; 3.30856 ; 0 ; 0
913959408 ; 0.00227129 ; 3.29887 ; 0 ; 0
914109408 ; 0.000806443 ; 3.29872 ; 0 ; 0
914270408 ; 0.00150072 ; 3.2972 ; 0 ; 0
914429408 ; 0.00125276 ; 3.2972 ; 0 ; 0
914584408 ; 0.000417344 ; 3.29811 ; 0 ; 0
914751408 ; 69.6468 ; 3.30925 ; 0 ; 0
914912408 ; 69.8318 ; 3.3091 ; 0 ; 0
915074408 ; 69.9061 ; 3.3091 ; 0 ; 0
915244408 ; 69.9645 ; 3.30963 ; 0 ; 0
915407408 ; 0.00134813 ; 3.2975 ; 0 ; 0
915577408 ; 0.00113451 ; 3.2975 ; 0 ; 0
915746408 ; 0.00158083 ; 3.29742 ; 0 ; 0
915903408 ; 0.00164949 ; 3.29742 ; 0 ; 0
916072408 ; 79.7079 ; 3.31024 ; 0 ; 0
916232408 ; 79.7079 ; 3.31024 ; 0 ; 0
916387408 ; 79.7079 ; 3.31062 ; 0 ; 0
916547408 ; 79.7079 ; 3.31039 ; 0 ; 0
916700408 ; 0.00138246 ; 3.29781 ; 0 ; 0
916856408 ; 0.00107729 ; 3.29727 ; 0 ; 0
917010408 ; 0.00112306 ; 3.29727 ; 0 ; 0
917172408 ; 0.00219499 ; 3.29727 ; 0 ; 0
917334408 ; 79.7079 ; 3.3107 ; 0 ; 0
917488408 ; 79.7079 ; 3.31093 ; 0 ; 0
917665408 ; 79.7079 ; 3.311 ; 0 ; 0
917818408 ; 0.00203859 ; 3.29781 ; 0 ; 0
917984408 ; 0.00120699 ; 3.29758 ; 0 ; 0
918159408 ; 0.00227129 ; 3.2972 ; 0 ; 0
918318408 ; 0.0018593 ; 3.29704 ; 0 ; 0
918477408 ; 0.000764482 ; 3.29689 ; 0 ; 0
918625408 ; 0.0012871 ; 3.29704 ; 0 ; 0
918781408 ; 0.00173723 ; 3.29681 ; 0 ; 0
918944408 ; 0.00114595 ; 3.29697 ; 0 ; 0
919111408 ; 0.00151216 ; 3.29697 ; 0 ; 0
919282408 ; 0.00216066 ; 3.29681 ; 0 ; 0
