#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1064640408 ; 0.000772111 ; 3.29758 ; 0 ; 0
1064813408 ; 0.000928514 ; 3.29681 ; 0 ; 0
1064976408 ; 0.000932328 ; 3.29689 ; 0 ; 0
1065132408 ; 0.00184404 ; 3.29681 ; 0 ; 0
1065310408 ; 0.00118791 ; 3.29689 ; 0 ; 0
1065468408 ; 0.00156557 ; 3.29659 ; 0 ; 0
1065621408 ; 0.00122606 ; 3.29689 ; 0 ; 0
1065791408 ; 0.00119173 ; 3.29689 ; 0 ; 0
1065937408 ; 0.00132524 ; 3.29666 ; 0 ; 0
1066113408 ; 0.00101244 ; 3.29689 ; 0 ; 0
1066282408 ; 0.00195848 ; 3.29704 ; 0 ; 0
1066439408 ; 0.00166475 ; 3.29659 ; 0 ; 0
1066616408 ; 0.00148927 ; 3.29689 ; 0 ; 0
1066775408 ; 0.000943772 ; 3.29697 ; 0 ; 0
1066931408 ; 0.00148546 ; 3.29659 ; 0 ; 0
1067105408 ; 0.000882737 ; 3.29674 ; 0 ; 0
1067267408 ; 3.76413 ; 3.2962 ; 0 ; 0
1067428408 ; 3.75682 ; 3.2962 ; 0 ; 0
1067601408 ; 3.76291 ; 3.29613 ; 0 ; 0
1067751408 ; 3.77508 ; 3.2962 ; 0 ; 0
1067918408 ; 3.77265 ; 3.29613 ; 0 ; 0
1068082408 ; 0.000955217 ; 3.29659 ; 0 ; 0
1068239408 ; 0.000424974 ; 3.29659 ; 0 ; 0
1068418408 ; 0.00145876 ; 3.29681 ; 0 ; 0
1068561408 ; 0.000905626 ; 3.29704 ; 0 ; 0
1068725408 ; 0.00148546 ; 3.29659 ; 0 ; 0
1068899408 ; 3.73491 ; 3.2962 ; 0 ; 0
1069065408 ; 3.72517 ; 3.2962 ; 0 ; 0
1069233408 ; 3.72273 ; 3.29613 ; 0 ; 0
1069406408 ; 3.71665 ; 3.29597 ; 0 ; 0
1069572408 ; 0.00140917 ; 3.29681 ; 0 ; 0
1069739408 ; 0.00154649 ; 3.29636 ; 0 ; 0
1069911408 ; 0.000775926 ; 3.29659 ; 0 ; 0
1070062408 ; 0.000737779 ; 3.29697 ; 0 ; 0
1070227408 ; 0.00102388 ; 3.29689 ; 0 ; 0
1070396408 ; 3.70812 ; 3.29628 ; 0 ; 0
1070557408 ; 3.68256 ; 3.29597 ; 0 ; 0
1070728408 ; 3.71421 ; 3.29628 ; 0 ; 0
1070884408 ; 0.00106203 ; 3.29674 ; 0 ; 0
1071037408 ; 0.00148164 ; 3.29666 ; 0 ; 0
1071210408 ; 0.000806443 ; 3.29735 ; 0 ; 0
1071363408 ; 0.00124895 ; 3.29926 ; 0 ; 0
1071536408 ; 0.000932328 ; 3.29659 ; 0 ; 0
1071712408 ; 3.71421 ; 3.29659 ; 0 ; 0
1071878408 ; 3.74708 ; 3.29628 ; 0 ; 0
1072036408 ; 3.7483 ; 3.29628 ; 0 ; 0
1072207408 ; 0.00174104 ; 3.29659 ; 0 ; 0
1072369408 ; 0.00124132 ; 3.29697 ; 0 ; 0
1072533408 ; 0.00102007 ; 3.29689 ; 0 ; 0
1072705408 ; 0.00100099 ; 3.29689 ; 0 ; 0
