#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
730862408 ; 3.58638 ; 3.29666 ; 0 ; 0
731028408 ; 3.58273 ; 3.29628 ; 0 ; 0
731202408 ; 3.59977 ; 3.29659 ; 0 ; 0
731350408 ; 3.58029 ; 3.29887 ; 0 ; 0
731513408 ; 3.57177 ; 3.29643 ; 0 ; 0
731661408 ; 3.58151 ; 3.2991 ; 0 ; 0
731822408 ; 3.58029 ; 3.2962 ; 0 ; 0
731984408 ; 3.58759 ; 3.29643 ; 0 ; 0
732136408 ; 3.58516 ; 3.29979 ; 0 ; 0
732311408 ; 3.60464 ; 3.29659 ; 0 ; 0
732461408 ; 3.58638 ; 3.29842 ; 0 ; 0
732622408 ; 3.58638 ; 3.29636 ; 0 ; 0
732783408 ; 3.5742 ; 3.29666 ; 0 ; 0
732936408 ; 3.58029 ; 3.2962 ; 0 ; 0
733112408 ; 3.5949 ; 3.29605 ; 0 ; 0
733265408 ; 3.58029 ; 3.29628 ; 0 ; 0
733422408 ; 3.57542 ; 3.29666 ; 0 ; 0
733598408 ; 3.57299 ; 3.29659 ; 0 ; 0
733755408 ; 3.57177 ; 3.29979 ; 0 ; 0
733925408 ; 3.5669 ; 3.29636 ; 0 ; 0
734096408 ; 3.58759 ; 3.29674 ; 0 ; 0
734241408 ; 3.57907 ; 3.29636 ; 0 ; 0
734417408 ; 3.58273 ; 3.29636 ; 0 ; 0
734582408 ; 3.58394 ; 3.29636 ; 0 ; 0
734743408 ; 15.1887 ; 3.29933 ; 0 ; 0
734917408 ; 15.2155 ; 3.2991 ; 0 ; 0
735072408 ; 15.2533 ; 3.29948 ; 0 ; 0
735228408 ; 15.28 ; 3.29933 ; 0 ; 0
735401408 ; 3.62047 ; 3.29651 ; 0 ; 0
735545408 ; 3.60951 ; 3.29666 ; 0 ; 0
735714408 ; 3.62655 ; 3.29636 ; 0 ; 0
735874408 ; 3.62047 ; 3.29613 ; 0 ; 0
736031408 ; 26.3577 ; 3.30193 ; 0 ; 0
736204408 ; 26.4563 ; 3.30193 ; 0 ; 0
736360408 ; 26.4806 ; 3.30223 ; 0 ; 0
736531408 ; 3.6156 ; 3.29659 ; 0 ; 0
736704408 ; 3.60342 ; 3.29697 ; 0 ; 0
736855408 ; 3.61316 ; 3.29651 ; 0 ; 0
