#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1332945408 ; 3.61438 ; 3.29651 ; 0 ; 0
1333103408 ; 3.61316 ; 3.29887 ; 0 ; 0
1333276408 ; 3.62899 ; 3.2962 ; 0 ; 0
1333445408 ; 3.61803 ; 3.29605 ; 0 ; 0
1333612408 ; 3.64116 ; 3.2962 ; 0 ; 0
1333786408 ; 3.6229 ; 3.29651 ; 0 ; 0
1333939408 ; 3.61681 ; 3.29636 ; 0 ; 0
1334099408 ; 3.6022 ; 3.29597 ; 0 ; 0
1334273408 ; 3.61803 ; 3.29628 ; 0 ; 0
1334416408 ; 3.61925 ; 3.29643 ; 0 ; 0
1334588408 ; 3.73491 ; 3.2959 ; 0 ; 0
1334748408 ; 3.74343 ; 3.29613 ; 0 ; 0
1334905408 ; 3.72639 ; 3.29613 ; 0 ; 0
1335077408 ; 3.75195 ; 3.29613 ; 0 ; 0
1335235408 ; 3.62655 ; 3.2959 ; 0 ; 0
1335400408 ; 3.61681 ; 3.29659 ; 0 ; 0
1335568408 ; 3.63264 ; 3.29613 ; 0 ; 0
1335726408 ; 3.63629 ; 3.29659 ; 0 ; 0
1335900408 ; 3.62899 ; 3.29597 ; 0 ; 0
1336057408 ; 3.74343 ; 3.29605 ; 0 ; 0
1336213408 ; 3.74099 ; 3.29636 ; 0 ; 0
1336391408 ; 3.75926 ; 3.2962 ; 0 ; 0
1336555408 ; 3.73612 ; 3.29651 ; 0 ; 0
1336711408 ; 3.72273 ; 3.29605 ; 0 ; 0
1336875408 ; 3.61316 ; 3.29613 ; 0 ; 0
1337027408 ; 3.6156 ; 3.29613 ; 0 ; 0
1337191408 ; 3.6156 ; 3.29628 ; 0 ; 0
1337358408 ; 3.62777 ; 3.29674 ; 0 ; 0
1337516408 ; 3.63264 ; 3.29651 ; 0 ; 0
1337691408 ; 3.71543 ; 3.29643 ; 0 ; 0
1337840408 ; 3.7276 ; 3.29666 ; 0 ; 0
1338006408 ; 3.72517 ; 3.29811 ; 0 ; 0
1338174408 ; 3.73004 ; 3.29651 ; 0 ; 0
1338327408 ; 3.72517 ; 3.29643 ; 0 ; 0
1338503408 ; 3.61194 ; 3.29674 ; 0 ; 0
1338665408 ; 3.62168 ; 3.29651 ; 0 ; 0
1338823408 ; 3.63142 ; 3.2962 ; 0 ; 0
1338996408 ; 3.62534 ; 3.29651 ; 0 ; 0
1339156408 ; 3.62655 ; 3.29674 ; 0 ; 0
1339314408 ; 3.6509 ; 3.29865 ; 0 ; 0
1339478408 ; 3.68499 ; 3.29651 ; 0 ; 0
1339628408 ; 3.69838 ; 3.29651 ; 0 ; 0
1339804408 ; 3.71421 ; 3.29628 ; 0 ; 0
1339963408 ; 3.70812 ; 3.29666 ; 0 ; 0
1340117408 ; 3.6996 ; 3.2962 ; 0 ; 0
1340279408 ; 3.61803 ; 3.29628 ; 0 ; 0
1340445408 ; 3.6229 ; 3.29628 ; 0 ; 0
1340608408 ; 3.62168 ; 3.29651 ; 0 ; 0
1340766408 ; 3.61681 ; 3.29636 ; 0 ; 0
1340917408 ; 3.60829 ; 3.29926 ; 0 ; 0
1341092408 ; 3.61316 ; 3.29674 ; 0 ; 0
1341257408 ; 3.66673 ; 3.29659 ; 0 ; 0
1341418408 ; 3.65577 ; 3.30147 ; 0 ; 0
1341594408 ; 3.64603 ; 3.29689 ; 0 ; 0
1341757408 ; 3.68621 ; 3.29666 ; 0 ; 0
1341917408 ; 3.68012 ; 3.29628 ; 0 ; 0
1342081408 ; 3.62534 ; 3.29628 ; 0 ; 0
1342231408 ; 3.62655 ; 3.29712 ; 0 ; 0
1342399408 ; 3.61438 ; 3.29712 ; 0 ; 0
