#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
665164704 ; 0.405827 ; 3.29704 ; 0 ; 0
665273704 ; 0.377825 ; 3.29567 ; 0 ; 0
665389704 ; 0.39487 ; 3.29575 ; 0 ; 0
665505704 ; 0.386347 ; 3.29819 ; 0 ; 0
665619704 ; 0.38513 ; 3.29704 ; 0 ; 0
665725704 ; 0.387565 ; 3.29544 ; 0 ; 0
665825704 ; 0.39 ; 3.29559 ; 0 ; 0
665930704 ; 0.37539 ; 3.2962 ; 0 ; 0
666028704 ; 0.399739 ; 3.29803 ; 0 ; 0
666138704 ; 0.399739 ; 3.29575 ; 0 ; 0
666235704 ; 0.393652 ; 3.29575 ; 0 ; 0
666346704 ; 0.391217 ; 3.29536 ; 0 ; 0
666454704 ; 0.393652 ; 3.29597 ; 0 ; 0
666559704 ; 3.11102 ; 3.29613 ; 0 ; 0
666666704 ; 2.78108 ; 3.29597 ; 0 ; 0
666788704 ; 2.86509 ; 3.2962 ; 0 ; 0
666904704 ; 2.98684 ; 3.29582 ; 0 ; 0
667013704 ; 3.13902 ; 3.29613 ; 0 ; 0
667123704 ; 2.91622 ; 3.29575 ; 0 ; 0
667222704 ; 2.87239 ; 3.29811 ; 0 ; 0
667321704 ; 2.86996 ; 3.29613 ; 0 ; 0
667429704 ; 0.00269362 ; 3.29735 ; 0 ; 0
667535704 ; 0.00122114 ; 3.29689 ; 0 ; 0
667641704 ; 0.00177046 ; 3.29712 ; 0 ; 0
667740704 ; 0.00177046 ; 3.29697 ; 0 ; 0
667852704 ; 0.00131651 ; 3.29887 ; 0 ; 0
667950704 ; 0.000427686 ; 3.29758 ; 0 ; 0
668042704 ; 0.00121733 ; 3.29689 ; 0 ; 0
668141704 ; 0.00162932 ; 3.29689 ; 0 ; 0
668247704 ; 0.00151106 ; 3.29704 ; 0 ; 0
668355704 ; 0.00181242 ; 3.29674 ; 0 ; 0
668449704 ; 0.0013127 ; 3.29697 ; 0 ; 0
668545704 ; 0.0015988 ; 3.29674 ; 0 ; 0
668640704 ; 0.00150725 ; 3.29674 ; 0 ; 0
668736704 ; 0.000904523 ; 3.29941 ; 0 ; 0
668843704 ; 0.00114866 ; 3.29659 ; 0 ; 0
668941704 ; 0.00151869 ; 3.29941 ; 0 ; 0
669040704 ; 0.00244185 ; 3.29681 ; 0 ; 0
669140704 ; 0.0011067 ; 3.29712 ; 0 ; 0
669237704 ; 0.00191542 ; 3.2991 ; 0 ; 0
669342704 ; 0.00163313 ; 3.29918 ; 0 ; 0
669441704 ; 0.00111433 ; 3.29674 ; 0 ; 0
669540704 ; 0.00177427 ; 3.30002 ; 0 ; 0
669639704 ; 0.00135084 ; 3.29773 ; 0 ; 0
669746704 ; 0.00146528 ; 3.29735 ; 0 ; 0
669856704 ; 0.00108763 ; 3.29735 ; 0 ; 0
669964704 ; 0.00155684 ; 3.29704 ; 0 ; 0
670073704 ; 0.00133558 ; 3.2972 ; 0 ; 0
670172704 ; 0.0853543 ; 3.29605 ; 0 ; 0
670281704 ; 0.080769 ; 3.29613 ; 0 ; 0
670398704 ; 0.00180098 ; 3.2972 ; 0 ; 0
670515704 ; 0.00170561 ; 3.29697 ; 0 ; 0
670629704 ; 0.00134321 ; 3.29765 ; 0 ; 0
670736704 ; 0.00210615 ; 3.29681 ; 0 ; 0
670837704 ; 0.00129744 ; 3.29735 ; 0 ; 0
670936704 ; 0.00180861 ; 3.29727 ; 0 ; 0
671035704 ; 0.000996076 ; 3.29765 ; 0 ; 0
671139704 ; 0.0013394 ; 3.29735 ; 0 ; 0
671246704 ; 0.000900709 ; 3.29704 ; 0 ; 0
671354704 ; 0.00125166 ; 3.29735 ; 0 ; 0
671450704 ; 0.00212141 ; 3.2972 ; 0 ; 0
671551704 ; 0.0013661 ; 3.29712 ; 0 ; 0
671660704 ; 0.00183149 ; 3.29712 ; 0 ; 0
671757704 ; 0.00156828 ; 3.29742 ; 0 ; 0
671866704 ; 0.000824415 ; 3.29697 ; 0 ; 0
671967704 ; 0.00161024 ; 3.29803 ; 0 ; 0
672061704 ; 0.00141188 ; 3.29689 ; 0 ; 0
672167704 ; 0.00104948 ; 3.2972 ; 0 ; 0
672273704 ; 0.00208708 ; 3.29742 ; 0 ; 0
672370704 ; 0.0017819 ; 3.29704 ; 0 ; 0
672466704 ; 0.00137755 ; 3.29712 ; 0 ; 0
672562704 ; 0.00226256 ; 3.29857 ; 0 ; 0
672655704 ; 0.00223585 ; 3.29727 ; 0 ; 0
672768704 ; 0.00165602 ; 3.29712 ; 0 ; 0
672870704 ; 0.00205656 ; 3.2972 ; 0 ; 0
672979704 ; 0.00111052 ; 3.29689 ; 0 ; 0
673096704 ; 0.00204512 ; 3.29727 ; 0 ; 0
673213704 ; 0.0013127 ; 3.29735 ; 0 ; 0
673315704 ; 0.0017552 ; 3.29704 ; 0 ; 0
673430704 ; 0.00205656 ; 3.29689 ; 0 ; 0
673530704 ; 3.24859 ; 3.2962 ; 0 ; 0
673638704 ; 2.91014 ; 3.29628 ; 0 ; 0
673739704 ; 2.87118 ; 3.29628 ; 0 ; 0
673845704 ; 3.15363 ; 3.29605 ; 0 ; 0
673952704 ; 2.83587 ; 3.29597 ; 0 ; 0
674060704 ; 3.15241 ; 3.29628 ; 0 ; 0
674157704 ; 3.17554 ; 3.29628 ; 0 ; 0
674267704 ; 3.02945 ; 3.29613 ; 0 ; 0
674363704 ; 3.14632 ; 3.29636 ; 0 ; 0
674472704 ; 3.1585 ; 3.29605 ; 0 ; 0
674578704 ; 3.04893 ; 3.29651 ; 0 ; 0
674691704 ; 2.89309 ; 3.29605 ; 0 ; 0
674810704 ; 2.88213 ; 3.29575 ; 0 ; 0
674923704 ; 0.00128981 ; 3.29674 ; 0 ; 0
675037704 ; 0.00132414 ; 3.29735 ; 0 ; 0
675145704 ; 0.00106474 ; 3.29727 ; 0 ; 0
675243704 ; 0.00207564 ; 3.29948 ; 0 ; 0
675378704 ; 0.00199171 ; 3.29697 ; 0 ; 0
675487704 ; 0.00206038 ; 3.29758 ; 0 ; 0
675602704 ; 0.0010533 ; 3.29697 ; 0 ; 0
675717704 ; 0.00163313 ; 3.29681 ; 0 ; 0
675828704 ; 0.00114866 ; 3.29781 ; 0 ; 0
675939704 ; 0.00151106 ; 3.29704 ; 0 ; 0
676037704 ; 0.0014958 ; 3.29689 ; 0 ; 0
676144704 ; 0.00202986 ; 3.29727 ; 0 ; 0
676249704 ; 0.00157972 ; 3.29704 ; 0 ; 0
676350704 ; 0.00227018 ; 3.29887 ; 0 ; 0
676451704 ; 0.00151869 ; 3.29704 ; 0 ; 0
676548704 ; 0.00202223 ; 3.29697 ; 0 ; 0
676654704 ; 0.00273939 ; 3.29681 ; 0 ; 0
676765704 ; 0.000969373 ; 3.29712 ; 0 ; 0
676863704 ; 0.0784382 ; 3.29613 ; 0 ; 0
676969704 ; 0.0852017 ; 3.29605 ; 0 ; 0
677065704 ; 0.00094267 ; 3.29727 ; 0 ; 0
677159704 ; 0.00189634 ; 3.29903 ; 0 ; 0
677259704 ; 0.00106474 ; 3.29697 ; 0 ; 0
677368704 ; 0.00215956 ; 3.29727 ; 0 ; 0
677466704 ; 0.00161024 ; 3.29697 ; 0 ; 0
677572704 ; 0.00117918 ; 3.29712 ; 0 ; 0
677669704 ; 0.000973188 ; 3.2975 ; 0 ; 0
677765704 ; 0.00166365 ; 3.29704 ; 0 ; 0
677863704 ; 0.00161024 ; 3.2972 ; 0 ; 0
677964704 ; 0.00165983 ; 3.29735 ; 0 ; 0
678061704 ; 0.00169035 ; 3.29689 ; 0 ; 0
678157704 ; 0.000957929 ; 3.29697 ; 0 ; 0
678266704 ; 0.00174757 ; 3.29735 ; 0 ; 0
678361704 ; 0.00142714 ; 3.29697 ; 0 ; 0
678470704 ; 0.00112196 ; 3.29681 ; 0 ; 0
678563704 ; 0.0022473 ; 3.29765 ; 0 ; 0
678675704 ; 0.00215956 ; 3.2972 ; 0 ; 0
678772704 ; 0.00150725 ; 3.30002 ; 0 ; 0
678876704 ; 0.00181624 ; 3.29689 ; 0 ; 0
678972704 ; 0.00264021 ; 3.29727 ; 0 ; 0
679084704 ; 0.00205656 ; 3.2972 ; 0 ; 0
679197704 ; 0.00157591 ; 3.29704 ; 0 ; 0
679314704 ; 0.00199553 ; 3.2972 ; 0 ; 0
679430704 ; 0.00138136 ; 3.29697 ; 0 ; 0
679541704 ; 0.00111052 ; 3.29689 ; 0 ; 0
679655704 ; 0.00209089 ; 3.29689 ; 0 ; 0
679763704 ; 0.0009503 ; 3.29712 ; 0 ; 0
679859704 ; 0.00148054 ; 3.29712 ; 0 ; 0
679956704 ; 0.00144621 ; 3.29704 ; 0 ; 0
680064704 ; 3.18041 ; 3.29636 ; 0 ; 0
680176704 ; 3.12684 ; 3.29597 ; 0 ; 0
