#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1677295000 ; 0.395232 ; 3.29674 ; 0 ; 0
1677412000 ; 0.38671 ; 3.29735 ; 0 ; 0
1677526000 ; 0.385493 ; 3.29765 ; 0 ; 0
1677640000 ; 0.389145 ; 3.29597 ; 0 ; 0
1677755000 ; 0.394015 ; 3.29567 ; 0 ; 0
1677863000 ; 0.39158 ; 3.29613 ; 0 ; 0
1677962000 ; 0.392797 ; 3.29674 ; 0 ; 0
1678061000 ; 0.39645 ; 3.29613 ; 0 ; 0
1678167000 ; 0.40132 ; 3.29765 ; 0 ; 0
1678267000 ; 0.394015 ; 3.29834 ; 0 ; 0
1678366000 ; 5.05687 ; 3.29781 ; 0 ; 0
1678472000 ; 4.92904 ; 3.29742 ; 0 ; 0
1678569000 ; 5.06296 ; 3.29758 ; 0 ; 0
1678667000 ; 4.7866 ; 3.29758 ; 0 ; 0
1678765000 ; 5.06783 ; 3.29781 ; 0 ; 0
1678866000 ; 4.33005 ; 3.29849 ; 0 ; 0
1678966000 ; 4.35075 ; 3.29704 ; 0 ; 0
1679068000 ; 4.35197 ; 3.29742 ; 0 ; 0
1679172000 ; 4.34588 ; 3.29681 ; 0 ; 0
1679275000 ; 4.34831 ; 3.29681 ; 0 ; 0
1679389000 ; 4.34223 ; 3.29742 ; 0 ; 0
1679504000 ; 4.34588 ; 3.29689 ; 0 ; 0
1679619000 ; 4.3471 ; 3.29704 ; 0 ; 0
1679735000 ; 4.35927 ; 3.29689 ; 0 ; 0
1679852000 ; 4.34831 ; 3.29651 ; 0 ; 0
1679962000 ; 4.34344 ; 3.29842 ; 0 ; 0
1680067000 ; 4.34466 ; 3.2972 ; 0 ; 0
1680169000 ; 4.34101 ; 3.29697 ; 0 ; 0
1680267000 ; 4.33979 ; 3.29727 ; 0 ; 0
1680375000 ; 4.34588 ; 3.29704 ; 0 ; 0
1680485000 ; 4.34588 ; 3.29735 ; 0 ; 0
1680584000 ; 4.34344 ; 3.2972 ; 0 ; 0
1680694000 ; 4.35805 ; 3.29681 ; 0 ; 0
1680809000 ; 4.3264 ; 3.29681 ; 0 ; 0
1680915000 ; 4.33736 ; 3.29803 ; 0 ; 0
1681035000 ; 4.35197 ; 3.29689 ; 0 ; 0
1681154000 ; 4.35075 ; 3.29697 ; 0 ; 0
1681266000 ; 4.34588 ; 3.29895 ; 0 ; 0
1681364000 ; 4.36536 ; 3.29895 ; 0 ; 0
1681471000 ; 4.34953 ; 3.29811 ; 0 ; 0
1681573000 ; 4.3544 ; 3.29689 ; 0 ; 0
1681672000 ; 4.35684 ; 3.29926 ; 0 ; 0
1681779000 ; 4.35075 ; 3.29704 ; 0 ; 0
1681877000 ; 4.33127 ; 3.29933 ; 0 ; 0
1681987000 ; 4.3471 ; 3.2972 ; 0 ; 0
1682083000 ; 4.35197 ; 3.2972 ; 0 ; 0
1682178000 ; 4.35805 ; 3.29926 ; 0 ; 0
1682292000 ; 4.34831 ; 3.29674 ; 0 ; 0
1682389000 ; 4.33249 ; 3.29971 ; 0 ; 0
1682498000 ; 4.33492 ; 3.29697 ; 0 ; 0
1682605000 ; 4.38849 ; 3.29742 ; 0 ; 0
1682716000 ; 4.3264 ; 3.29704 ; 0 ; 0
1682834000 ; 4.33127 ; 3.29689 ; 0 ; 0
1682948000 ; 4.30083 ; 3.2972 ; 0 ; 0
1683060000 ; 4.32518 ; 3.29727 ; 0 ; 0
1683159000 ; 4.30692 ; 3.2972 ; 0 ; 0
1683260000 ; 4.31423 ; 3.29849 ; 0 ; 0
1690240000 ; 4.33857 ; 3.29689 ; 0 ; 0
1690355000 ; 4.34466 ; 3.29697 ; 0 ; 0
1690470000 ; 4.3471 ; 3.2975 ; 0 ; 0
1690572000 ; 4.35318 ; 3.29727 ; 0 ; 0
1690677000 ; 4.33614 ; 3.29689 ; 0 ; 0
1690783000 ; 4.35927 ; 3.29697 ; 0 ; 0
1690899000 ; 4.32762 ; 3.29857 ; 0 ; 0
1691000000 ; 4.37753 ; 3.29674 ; 0 ; 0
1691099000 ; 4.35075 ; 3.29948 ; 0 ; 0
1691200000 ; 4.34831 ; 3.29674 ; 0 ; 0
1691297000 ; 4.35684 ; 3.29704 ; 0 ; 0
1691405000 ; 4.33492 ; 3.29697 ; 0 ; 0
1691499000 ; 4.34953 ; 3.29681 ; 0 ; 0
1691613000 ; 4.3544 ; 3.29742 ; 0 ; 0
1691713000 ; 4.32396 ; 3.29735 ; 0 ; 0
1691823000 ; 4.33736 ; 3.29735 ; 0 ; 0
1691938000 ; 4.33857 ; 3.29681 ; 0 ; 0
1692056000 ; 4.35318 ; 3.29666 ; 0 ; 0
1692172000 ; 4.35805 ; 3.2972 ; 0 ; 0
1692281000 ; 4.32883 ; 3.29689 ; 0 ; 0
1692390000 ; 4.39823 ; 3.29712 ; 0 ; 0
1692499000 ; 4.41162 ; 3.29697 ; 0 ; 0
1692609000 ; 4.30936 ; 3.29704 ; 0 ; 0
1692720000 ; 4.31666 ; 3.29742 ; 0 ; 0
1692836000 ; 4.3264 ; 3.29704 ; 0 ; 0
1692940000 ; 4.3337 ; 3.29674 ; 0 ; 0
1693056000 ; 4.32031 ; 3.29697 ; 0 ; 0
1693174000 ; 4.31057 ; 3.29674 ; 0 ; 0
1693279000 ; 4.33005 ; 3.29712 ; 0 ; 0
1693383000 ; 4.31544 ; 3.29689 ; 0 ; 0
1693488000 ; 4.32762 ; 3.29742 ; 0 ; 0
1693596000 ; 4.33249 ; 3.29689 ; 0 ; 0
1693707000 ; 4.32031 ; 3.29727 ; 0 ; 0
1693804000 ; 4.33614 ; 3.29689 ; 0 ; 0
1693911000 ; 4.32518 ; 3.29948 ; 0 ; 0
1694016000 ; 4.32883 ; 3.29674 ; 0 ; 0
1694126000 ; 4.31057 ; 3.29781 ; 0 ; 0
1694241000 ; 4.31788 ; 3.29681 ; 0 ; 0
1694357000 ; 4.33492 ; 3.29674 ; 0 ; 0
1694474000 ; 4.33127 ; 3.29704 ; 0 ; 0
1694581000 ; 4.31057 ; 3.29689 ; 0 ; 0
1694688000 ; 4.32883 ; 3.29742 ; 0 ; 0
1694796000 ; 4.33492 ; 3.29681 ; 0 ; 0
1694891000 ; 4.34223 ; 3.29895 ; 0 ; 0
1694997000 ; 4.32396 ; 3.29689 ; 0 ; 0
1695105000 ; 4.33979 ; 3.29735 ; 0 ; 0
1695201000 ; 4.33979 ; 3.29712 ; 0 ; 0
1695312000 ; 4.33614 ; 3.2972 ; 0 ; 0
1695422000 ; 4.32153 ; 3.29674 ; 0 ; 0
1695537000 ; 4.3337 ; 3.29704 ; 0 ; 0
1695644000 ; 4.31666 ; 3.29659 ; 0 ; 0
1695747000 ; 4.33979 ; 3.29933 ; 0 ; 0
1695851000 ; 4.31544 ; 3.29681 ; 0 ; 0
1695976000 ; 4.33127 ; 3.29681 ; 0 ; 0
1696083000 ; 4.31788 ; 3.29689 ; 0 ; 0
1696190000 ; 4.33249 ; 3.29697 ; 0 ; 0
1696305000 ; 4.31423 ; 3.2975 ; 0 ; 0
1696413000 ; 4.32883 ; 3.29681 ; 0 ; 0
1696511000 ; 4.32518 ; 3.2972 ; 0 ; 0
1696606000 ; 4.3264 ; 3.29727 ; 0 ; 0
1696718000 ; 4.32883 ; 3.29681 ; 0 ; 0
1696830000 ; 5.33202 ; 3.29681 ; 0 ; 0
1696942000 ; 5.18836 ; 3.29758 ; 0 ; 0
1697056000 ; 4.97774 ; 3.29704 ; 0 ; 0
1697172000 ; 4.29962 ; 3.29674 ; 0 ; 0
1697283000 ; 4.32275 ; 3.2972 ; 0 ; 0
1697390000 ; 4.31057 ; 3.29704 ; 0 ; 0
1697499000 ; 4.32031 ; 3.29697 ; 0 ; 0
1697597000 ; 4.33736 ; 3.29689 ; 0 ; 0
1697699000 ; 4.32275 ; 3.29689 ; 0 ; 0
1697795000 ; 4.3191 ; 3.29887 ; 0 ; 0
1697905000 ; 4.32883 ; 3.29727 ; 0 ; 0
1698001000 ; 4.31544 ; 3.29712 ; 0 ; 0
1698096000 ; 4.30083 ; 3.29689 ; 0 ; 0
1698198000 ; 4.32275 ; 3.29689 ; 0 ; 0
1698311000 ; 4.32031 ; 3.29704 ; 0 ; 0
1698417000 ; 4.32518 ; 3.29697 ; 0 ; 0
1698519000 ; 4.31666 ; 3.2972 ; 0 ; 0
1698616000 ; 4.32883 ; 3.29681 ; 0 ; 0
1698728000 ; 4.31179 ; 3.29697 ; 0 ; 0
1698843000 ; 4.33249 ; 3.29697 ; 0 ; 0
1698947000 ; 4.32762 ; 3.29689 ; 0 ; 0
1699050000 ; 4.32762 ; 3.2988 ; 0 ; 0
1699164000 ; 4.3264 ; 3.29689 ; 0 ; 0
1699274000 ; 4.32031 ; 3.29666 ; 0 ; 0
1699385000 ; 4.3191 ; 3.29697 ; 0 ; 0
1699494000 ; 4.32518 ; 3.29651 ; 0 ; 0
