#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2783423000 ; 0.38671 ; 3.29681 ; 0 ; 0
2783519000 ; 0.404972 ; 3.2959 ; 0 ; 0
2783633000 ; 0.394015 ; 3.29567 ; 0 ; 0
2783746000 ; 0.395232 ; 3.29765 ; 0 ; 0
2783859000 ; 0.394015 ; 3.29605 ; 0 ; 0
2783974000 ; 0.392797 ; 3.29567 ; 0 ; 0
2784092000 ; 0.385493 ; 3.29575 ; 0 ; 0
2784192000 ; 0.394015 ; 3.29811 ; 0 ; 0
2784290000 ; 0.406189 ; 3.29933 ; 0 ; 0
2784392000 ; 0.398885 ; 3.29788 ; 0 ; 0
2784502000 ; 0.389145 ; 3.29681 ; 0 ; 0
2784601000 ; 4.00256 ; 3.29987 ; 0 ; 0
2784700000 ; 3.95629 ; 3.29651 ; 0 ; 0
2784800000 ; 3.88081 ; 3.29681 ; 0 ; 0
2784896000 ; 4.01351 ; 3.29697 ; 0 ; 0
2785002000 ; 3.94777 ; 3.29727 ; 0 ; 0
2785102000 ; 1.40937 ; 3.29681 ; 0 ; 0
2785201000 ; 1.41668 ; 3.29918 ; 0 ; 0
2785309000 ; 1.40816 ; 3.29697 ; 0 ; 0
2785407000 ; 1.40937 ; 3.29681 ; 0 ; 0
2785512000 ; 1.40572 ; 3.29636 ; 0 ; 0
2785608000 ; 1.41424 ; 3.29651 ; 0 ; 0
2785716000 ; 1.42398 ; 3.29636 ; 0 ; 0
2785815000 ; 1.41546 ; 3.29926 ; 0 ; 0
2785917000 ; 1.42155 ; 3.29659 ; 0 ; 0
2786013000 ; 1.40816 ; 3.29674 ; 0 ; 0
2786129000 ; 1.40085 ; 3.29597 ; 0 ; 0
2786242000 ; 1.41424 ; 3.29674 ; 0 ; 0
2786356000 ; 1.40937 ; 3.29651 ; 0 ; 0
2786470000 ; 1.41668 ; 3.29636 ; 0 ; 0
2786585000 ; 1.3972 ; 3.29697 ; 0 ; 0
2786697000 ; 1.40694 ; 3.29651 ; 0 ; 0
2786798000 ; 1.41424 ; 3.29628 ; 0 ; 0
2786907000 ; 1.41668 ; 3.29689 ; 0 ; 0
2787012000 ; 1.42885 ; 3.29628 ; 0 ; 0
2787108000 ; 1.42277 ; 3.29643 ; 0 ; 0
2787205000 ; 1.41303 ; 3.29666 ; 0 ; 0
2787312000 ; 1.43738 ; 3.29636 ; 0 ; 0
2787416000 ; 1.40207 ; 3.2962 ; 0 ; 0
2787526000 ; 1.40085 ; 3.29674 ; 0 ; 0
2787622000 ; 1.4252 ; 3.29666 ; 0 ; 0
2787738000 ; 1.40694 ; 3.29651 ; 0 ; 0
2787847000 ; 1.41668 ; 3.29727 ; 0 ; 0
2787963000 ; 1.49947 ; 3.29643 ; 0 ; 0
2788079000 ; 1.50312 ; 3.29659 ; 0 ; 0
2788193000 ; 1.41181 ; 3.29636 ; 0 ; 0
2788292000 ; 1.39476 ; 3.29613 ; 0 ; 0
2788393000 ; 1.43129 ; 3.29666 ; 0 ; 0
2788499000 ; 1.40816 ; 3.29643 ; 0 ; 0
2788604000 ; 1.41668 ; 3.29681 ; 0 ; 0
2788704000 ; 1.41059 ; 3.29727 ; 0 ; 0
2788801000 ; 1.41059 ; 3.29666 ; 0 ; 0
2788907000 ; 1.41059 ; 3.29659 ; 0 ; 0
2789007000 ; 1.40572 ; 3.29613 ; 0 ; 0
2789111000 ; 1.41911 ; 3.29613 ; 0 ; 0
2789210000 ; 1.41911 ; 3.29819 ; 0 ; 0
