#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3014136000 ; 0.403754 ; 3.29781 ; 0 ; 0
3014244000 ; 0.387927 ; 3.29483 ; 0 ; 0
3014353000 ; 0.38671 ; 3.29788 ; 0 ; 0
3014470000 ; 0.40132 ; 3.29727 ; 0 ; 0
3014588000 ; 0.407407 ; 3.29552 ; 0 ; 0
3014697000 ; 0.400102 ; 3.29628 ; 0 ; 0
3014797000 ; 0.404972 ; 3.29773 ; 0 ; 0
3014904000 ; 0.40132 ; 3.29514 ; 0 ; 0
3015004000 ; 0.379405 ; 3.29582 ; 0 ; 0
3015102000 ; 3.6775 ; 3.29613 ; 0 ; 0
3015208000 ; 3.62758 ; 3.29666 ; 0 ; 0
3015307000 ; 3.56549 ; 3.29659 ; 0 ; 0
3015415000 ; 3.406 ; 3.29712 ; 0 ; 0
3015515000 ; 3.60445 ; 3.29659 ; 0 ; 0
3015615000 ; 0.00201971 ; 3.29811 ; 0 ; 0
3015715000 ; 0.00122244 ; 3.29788 ; 0 ; 0
3015828000 ; 0.00185949 ; 3.29765 ; 0 ; 0
3015925000 ; 0.00135595 ; 3.2975 ; 0 ; 0
3016025000 ; -0.000177554 ; 3.29796 ; 0 ; 0
3016135000 ; 0.00126822 ; 3.29742 ; 0 ; 0
3016243000 ; 0.00415976 ; 3.29773 ; 0 ; 0
3016358000 ; 0.00187475 ; 3.29781 ; 0 ; 0
3016463000 ; 0.00126059 ; 3.29758 ; 0 ; 0
3016577000 ; 0.00203116 ; 3.29849 ; 0 ; 0
3016690000 ; 0.00151999 ; 3.29803 ; 0 ; 0
3016801000 ; 0.00136358 ; 3.29758 ; 0 ; 0
3016906000 ; 0.00168402 ; 3.29765 ; 0 ; 0
3017006000 ; 0.00247366 ; 3.29796 ; 0 ; 0
3017112000 ; 0.00190146 ; 3.29796 ; 0 ; 0
3017208000 ; 0.00150854 ; 3.30025 ; 0 ; 0
3017314000 ; 0.00121863 ; 3.29796 ; 0 ; 0
3017420000 ; 0.00161917 ; 3.29735 ; 0 ; 0
3017520000 ; 0.000890561 ; 3.29796 ; 0 ; 0
3017615000 ; 0.00151617 ; 3.2975 ; 0 ; 0
3017726000 ; 0.00195105 ; 3.29742 ; 0 ; 0
3017819000 ; 0.0014971 ; 3.2975 ; 0 ; 0
3017915000 ; 0.000619718 ; 3.30002 ; 0 ; 0
3018014000 ; 0.00177557 ; 3.29773 ; 0 ; 0
3018117000 ; 0.00202353 ; 3.29765 ; 0 ; 0
3018226000 ; 0.00137503 ; 3.29742 ; 0 ; 0
3018339000 ; 0.00156958 ; 3.29758 ; 0 ; 0
3018448000 ; 0.00194342 ; 3.29781 ; 0 ; 0
3018563000 ; 0.00283606 ; 3.29765 ; 0 ; 0
3018680000 ; 0.00138266 ; 3.29735 ; 0 ; 0
3018793000 ; 0.0796107 ; 3.29697 ; 0 ; 0
3018904000 ; 0.0825709 ; 3.29674 ; 0 ; 0
3019017000 ; 0.00197012 ; 3.29735 ; 0 ; 0
3019127000 ; 0.00200445 ; 3.29773 ; 0 ; 0
3019224000 ; 0.00140936 ; 3.29811 ; 0 ; 0
3019322000 ; -2.07778e-06 ; 3.29773 ; 0 ; 0
3019427000 ; 0.00123388 ; 3.29781 ; 0 ; 0
3019524000 ; 0.00173742 ; 3.29773 ; 0 ; 0
3019633000 ; 0.00141699 ; 3.29742 ; 0 ; 0
3019741000 ; 0.00157339 ; 3.29758 ; 0 ; 0
3019852000 ; 0.0016268 ; 3.29781 ; 0 ; 0
3019970000 ; 0.000818082 ; 3.29788 ; 0 ; 0
3020089000 ; 0.00140936 ; 3.29796 ; 0 ; 0
3020203000 ; 0.00162298 ; 3.29773 ; 0 ; 0
3020302000 ; 0.00174505 ; 3.29765 ; 0 ; 0
3020401000 ; 0.000955411 ; 3.29758 ; 0 ; 0
3020511000 ; 0.00040228 ; 3.29811 ; 0 ; 0
3020610000 ; 0.00255758 ; 3.29803 ; 0 ; 0
3020715000 ; 0.000974485 ; 3.2975 ; 0 ; 0
3020813000 ; 0.000932523 ; 3.29941 ; 0 ; 0
3020929000 ; 0.00102789 ; 3.29811 ; 0 ; 0
3021027000 ; 0.00140555 ; 3.29788 ; 0 ; 0
3021125000 ; 0.00133688 ; 3.29758 ; 0 ; 0
3021226000 ; 0.00127203 ; 3.29796 ; 0 ; 0
3021326000 ; 0.00251181 ; 3.29781 ; 0 ; 0
3021421000 ; 0.00150854 ; 3.29735 ; 0 ; 0
3021530000 ; 0.00223333 ; 3.29819 ; 0 ; 0
