#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2403377000 ; 0.402537 ; 3.29742 ; 0 ; 0
2403473000 ; 0.385493 ; 3.29613 ; 0 ; 0
2403593000 ; 0.397667 ; 3.29735 ; 0 ; 0
2403704000 ; 0.397667 ; 3.29575 ; 0 ; 0
2403819000 ; 0.39645 ; 3.29651 ; 0 ; 0
2403935000 ; 0.389145 ; 3.29712 ; 0 ; 0
2404048000 ; 0.389145 ; 3.29582 ; 0 ; 0
2404148000 ; 0.39645 ; 3.2962 ; 0 ; 0
2404249000 ; 0.389145 ; 3.29636 ; 0 ; 0
2404354000 ; 0.40132 ; 3.29651 ; 0 ; 0
2404453000 ; 0.389145 ; 3.29865 ; 0 ; 0
2404564000 ; 3.95386 ; 3.29659 ; 0 ; 0
2404665000 ; 4.28622 ; 3.2972 ; 0 ; 0
2404762000 ; 4.21318 ; 3.29697 ; 0 ; 0
2404860000 ; 4.1243 ; 3.29979 ; 0 ; 0
2404972000 ; 3.28426 ; 3.29666 ; 0 ; 0
2405069000 ; 3.28304 ; 3.29681 ; 0 ; 0
2405176000 ; 3.29034 ; 3.29681 ; 0 ; 0
2405276000 ; 3.28547 ; 3.29689 ; 0 ; 0
2405374000 ; 3.28547 ; 3.30009 ; 0 ; 0
2405473000 ; 3.29156 ; 3.29697 ; 0 ; 0
2405574000 ; 3.27939 ; 3.29689 ; 0 ; 0
2405684000 ; 3.29034 ; 3.29666 ; 0 ; 0
2405779000 ; 3.28669 ; 3.29697 ; 0 ; 0
2405875000 ; 3.27695 ; 3.29887 ; 0 ; 0
2405974000 ; 3.28426 ; 3.29697 ; 0 ; 0
2406083000 ; 3.27573 ; 3.29689 ; 0 ; 0
2406194000 ; 3.29034 ; 3.29727 ; 0 ; 0
2406289000 ; 3.28669 ; 3.29674 ; 0 ; 0
2406401000 ; 3.27452 ; 3.29727 ; 0 ; 0
2406511000 ; 3.29887 ; 3.29842 ; 0 ; 0
2406627000 ; 3.28913 ; 3.29674 ; 0 ; 0
2406747000 ; 3.28304 ; 3.29712 ; 0 ; 0
2406860000 ; 3.29156 ; 3.29674 ; 0 ; 0
2406969000 ; 3.28669 ; 3.29681 ; 0 ; 0
2407068000 ; 3.29034 ; 3.29918 ; 0 ; 0
2407174000 ; 3.28791 ; 3.29781 ; 0 ; 0
2407275000 ; 3.29278 ; 3.29742 ; 0 ; 0
2407377000 ; 3.28669 ; 3.29659 ; 0 ; 0
2407490000 ; 3.28426 ; 3.29697 ; 0 ; 0
2407590000 ; 3.28304 ; 3.29681 ; 0 ; 0
2407687000 ; 3.27939 ; 3.29704 ; 0 ; 0
2407787000 ; 3.2806 ; 3.29651 ; 0 ; 0
2407896000 ; 3.28547 ; 3.29697 ; 0 ; 0
2408001000 ; 3.28304 ; 3.29697 ; 0 ; 0
2408113000 ; 3.29278 ; 3.29735 ; 0 ; 0
2408232000 ; 3.28547 ; 3.29712 ; 0 ; 0
2408346000 ; 3.28913 ; 3.29689 ; 0 ; 0
2408462000 ; 3.2806 ; 3.29674 ; 0 ; 0
2408565000 ; 3.28182 ; 3.29674 ; 0 ; 0
2408671000 ; 3.36339 ; 3.29712 ; 0 ; 0
2408783000 ; 3.33539 ; 3.29659 ; 0 ; 0
2408882000 ; 3.37678 ; 3.29636 ; 0 ; 0
2408989000 ; 3.38044 ; 3.29681 ; 0 ; 0
2409098000 ; 3.35974 ; 3.29666 ; 0 ; 0
2409209000 ; 3.38044 ; 3.29674 ; 0 ; 0
2409321000 ; 3.38652 ; 3.29697 ; 0 ; 0
2409437000 ; 3.38044 ; 3.29704 ; 0 ; 0
2409542000 ; 3.37191 ; 3.29666 ; 0 ; 0
2409659000 ; 3.36096 ; 3.29681 ; 0 ; 0
2409769000 ; 3.38774 ; 3.29689 ; 0 ; 0
2409875000 ; 3.38044 ; 3.29697 ; 0 ; 0
2409985000 ; 3.38044 ; 3.29651 ; 0 ; 0
2410097000 ; 3.36704 ; 3.29674 ; 0 ; 0
2410197000 ; 3.37313 ; 3.2988 ; 0 ; 0
2410309000 ; 3.37922 ; 3.29659 ; 0 ; 0
2410425000 ; 3.3707 ; 3.29666 ; 0 ; 0
2410546000 ; 3.37313 ; 3.29704 ; 0 ; 0
2410661000 ; 3.36583 ; 3.29681 ; 0 ; 0
2410768000 ; 3.37435 ; 3.29697 ; 0 ; 0
2410876000 ; 3.38774 ; 3.29712 ; 0 ; 0
2410983000 ; 3.36704 ; 3.29666 ; 0 ; 0
2411083000 ; 3.36704 ; 3.29704 ; 0 ; 0
2411180000 ; 3.38287 ; 3.29681 ; 0 ; 0
2411287000 ; 3.37678 ; 3.29674 ; 0 ; 0
2411392000 ; 3.3707 ; 3.2972 ; 0 ; 0
2411490000 ; 3.37557 ; 3.29689 ; 0 ; 0
2411587000 ; 3.35974 ; 3.29712 ; 0 ; 0
2411689000 ; 3.38409 ; 3.29666 ; 0 ; 0
2411792000 ; 3.36948 ; 3.29674 ; 0 ; 0
2411901000 ; 3.38044 ; 3.29666 ; 0 ; 0
2412009000 ; 3.39626 ; 3.29704 ; 0 ; 0
2412106000 ; 3.38165 ; 3.29704 ; 0 ; 0
2412215000 ; 3.40113 ; 3.29697 ; 0 ; 0
2412329000 ; 3.38531 ; 3.29697 ; 0 ; 0
2412444000 ; 3.37313 ; 3.29689 ; 0 ; 0
2412547000 ; 3.99403 ; 3.29712 ; 0 ; 0
2412651000 ; 4.25457 ; 3.29689 ; 0 ; 0
2412767000 ; 4.17665 ; 3.2972 ; 0 ; 0
2412872000 ; 4.33857 ; 3.29727 ; 0 ; 0
2412978000 ; 4.0756 ; 3.29704 ; 0 ; 0
2413087000 ; 4.22292 ; 3.29727 ; 0 ; 0
2413187000 ; 4.09508 ; 3.29704 ; 0 ; 0
2413303000 ; 4.04638 ; 3.29681 ; 0 ; 0
2413398000 ; 3.30252 ; 3.29727 ; 0 ; 0
2413507000 ; 3.30982 ; 3.29697 ; 0 ; 0
2413621000 ; 3.28304 ; 3.29643 ; 0 ; 0
2413738000 ; 3.28791 ; 3.29651 ; 0 ; 0
2413853000 ; 3.29521 ; 3.29666 ; 0 ; 0
2413968000 ; 3.294 ; 3.2972 ; 0 ; 0
2414074000 ; 3.30008 ; 3.29704 ; 0 ; 0
2414179000 ; 3.28913 ; 3.29681 ; 0 ; 0
2414287000 ; 3.29765 ; 3.29659 ; 0 ; 0
2414398000 ; 3.29521 ; 3.29674 ; 0 ; 0
2414511000 ; 3.29887 ; 3.2972 ; 0 ; 0
2414623000 ; 3.30495 ; 3.29659 ; 0 ; 0
2414737000 ; 3.29521 ; 3.29681 ; 0 ; 0
2414852000 ; 3.28791 ; 3.29674 ; 0 ; 0
2414955000 ; 3.29765 ; 3.29666 ; 0 ; 0
2415071000 ; 3.29887 ; 3.29865 ; 0 ; 0
2415178000 ; 3.30617 ; 3.29659 ; 0 ; 0
2415284000 ; 3.29765 ; 3.29697 ; 0 ; 0
2415394000 ; 3.30374 ; 3.29659 ; 0 ; 0
2415495000 ; 3.29278 ; 3.29704 ; 0 ; 0
2415595000 ; 3.29034 ; 3.29659 ; 0 ; 0
2415696000 ; 3.30008 ; 3.29842 ; 0 ; 0
2415811000 ; 3.2806 ; 3.29689 ; 0 ; 0
2415920000 ; 3.28304 ; 3.29727 ; 0 ; 0
2416035000 ; 3.30008 ; 3.29659 ; 0 ; 0
2416157000 ; 3.29765 ; 3.29704 ; 0 ; 0
2416272000 ; 3.29887 ; 3.29697 ; 0 ; 0
2416378000 ; 3.3013 ; 3.29712 ; 0 ; 0
2416485000 ; 3.29643 ; 3.29704 ; 0 ; 0
2416591000 ; 3.29521 ; 3.29842 ; 0 ; 0
2416698000 ; 3.29034 ; 3.29697 ; 0 ; 0
2416805000 ; 3.28547 ; 3.2975 ; 0 ; 0
2416915000 ; 3.27939 ; 3.29681 ; 0 ; 0
2417022000 ; 3.2806 ; 3.29689 ; 0 ; 0
2417133000 ; 3.28791 ; 3.29697 ; 0 ; 0
2417248000 ; 3.27573 ; 3.2972 ; 0 ; 0
2417351000 ; 3.28547 ; 3.29681 ; 0 ; 0
2417464000 ; 3.27817 ; 3.29689 ; 0 ; 0
2417571000 ; 3.28547 ; 3.29681 ; 0 ; 0
2417683000 ; 3.28547 ; 3.29689 ; 0 ; 0
2417789000 ; 3.27208 ; 3.2972 ; 0 ; 0
2417894000 ; 3.27452 ; 3.29697 ; 0 ; 0
2417995000 ; 3.27817 ; 3.29918 ; 0 ; 0
2418108000 ; 3.27452 ; 3.29742 ; 0 ; 0
2418212000 ; 3.27208 ; 3.29666 ; 0 ; 0
2418312000 ; 3.2806 ; 3.29773 ; 0 ; 0
2418407000 ; 3.27939 ; 3.29727 ; 0 ; 0
2418516000 ; 3.28547 ; 3.29681 ; 0 ; 0
2418642000 ; 3.27086 ; 3.29681 ; 0 ; 0
2418747000 ; 3.27452 ; 3.2972 ; 0 ; 0
2418866000 ; 3.27208 ; 3.29704 ; 0 ; 0
2418980000 ; 3.26478 ; 3.29712 ; 0 ; 0
2419090000 ; 3.27573 ; 3.29857 ; 0 ; 0
2419190000 ; 3.28426 ; 3.29681 ; 0 ; 0
2419294000 ; 3.28669 ; 3.29819 ; 0 ; 0
2419403000 ; 3.2806 ; 3.29704 ; 0 ; 0
2419503000 ; 3.28304 ; 3.29712 ; 0 ; 0
2419609000 ; 3.2733 ; 3.29689 ; 0 ; 0
2419721000 ; 3.26113 ; 3.29712 ; 0 ; 0
2419832000 ; 3.27695 ; 3.29674 ; 0 ; 0
2419945000 ; 3.2806 ; 3.29704 ; 0 ; 0
2420052000 ; 3.2806 ; 3.29941 ; 0 ; 0
2420168000 ; 3.29034 ; 3.29689 ; 0 ; 0
2420288000 ; 3.266 ; 3.29834 ; 0 ; 0
2420394000 ; 3.29156 ; 3.29681 ; 0 ; 0
2420505000 ; 3.26843 ; 3.29697 ; 0 ; 0
2420615000 ; 4.02447 ; 3.29697 ; 0 ; 0
2420715000 ; 4.05369 ; 3.29712 ; 0 ; 0
2420828000 ; 4.2424 ; 3.29727 ; 0 ; 0
2420945000 ; 4.28866 ; 3.29735 ; 0 ; 0
2421059000 ; 3.27452 ; 3.2972 ; 0 ; 0
2421182000 ; 3.266 ; 3.29704 ; 0 ; 0
2421291000 ; 3.28182 ; 3.29697 ; 0 ; 0
2421390000 ; 3.28547 ; 3.29681 ; 0 ; 0
2421493000 ; 3.2806 ; 3.29704 ; 0 ; 0
2421598000 ; 3.2733 ; 3.29689 ; 0 ; 0
2421712000 ; 3.28913 ; 3.29689 ; 0 ; 0
2421806000 ; 3.27939 ; 3.29697 ; 0 ; 0
2421902000 ; 3.27208 ; 3.2972 ; 0 ; 0
2422000000 ; 3.26356 ; 3.29727 ; 0 ; 0
2422102000 ; 3.27086 ; 3.29704 ; 0 ; 0
2422205000 ; 3.28791 ; 3.29704 ; 0 ; 0
