#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2261412000 ; 0.400102 ; 3.29651 ; 0 ; 0
2261520000 ; 0.390362 ; 3.29636 ; 0 ; 0
2261627000 ; 0.389145 ; 3.29727 ; 0 ; 0
2261739000 ; 0.39645 ; 3.29643 ; 0 ; 0
2261855000 ; 0.397667 ; 3.29636 ; 0 ; 0
2261970000 ; 0.37697 ; 3.29681 ; 0 ; 0
2262083000 ; 0.390362 ; 3.29681 ; 0 ; 0
2262191000 ; 0.395232 ; 3.29674 ; 0 ; 0
2262287000 ; 0.389145 ; 3.2972 ; 0 ; 0
2262387000 ; 4.27527 ; 3.29956 ; 0 ; 0
2262490000 ; 4.12917 ; 3.29712 ; 0 ; 0
2262588000 ; 4.10969 ; 3.29704 ; 0 ; 0
2262693000 ; 3.98064 ; 3.29689 ; 0 ; 0
2262793000 ; 3.99769 ; 3.29735 ; 0 ; 0
2262900000 ; 3.95508 ; 3.29727 ; 0 ; 0
2262999000 ; 3.96238 ; 3.29712 ; 0 ; 0
2263112000 ; 3.95995 ; 3.29651 ; 0 ; 0
2263209000 ; 3.95386 ; 3.29712 ; 0 ; 0
2263304000 ; 3.96116 ; 3.29926 ; 0 ; 0
2263403000 ; 3.94777 ; 3.2972 ; 0 ; 0
2263513000 ; 3.92464 ; 3.29918 ; 0 ; 0
2263625000 ; 3.94899 ; 3.29704 ; 0 ; 0
2263737000 ; 3.94655 ; 3.29697 ; 0 ; 0
2263854000 ; 3.94534 ; 3.29697 ; 0 ; 0
2263969000 ; 3.95629 ; 3.2972 ; 0 ; 0
2264083000 ; 3.95508 ; 3.29727 ; 0 ; 0
2264183000 ; 3.96603 ; 3.2972 ; 0 ; 0
2264281000 ; 3.94047 ; 3.29697 ; 0 ; 0
2264380000 ; 3.9429 ; 3.29926 ; 0 ; 0
2264482000 ; 3.94777 ; 3.29926 ; 0 ; 0
2264584000 ; 3.93681 ; 3.29712 ; 0 ; 0
2264684000 ; 3.95142 ; 3.29735 ; 0 ; 0
2264790000 ; 3.94534 ; 3.29964 ; 0 ; 0
2264891000 ; 3.93925 ; 3.29735 ; 0 ; 0
2264989000 ; 3.95995 ; 3.29704 ; 0 ; 0
2265087000 ; 3.94655 ; 3.29727 ; 0 ; 0
2265184000 ; 3.94047 ; 3.2972 ; 0 ; 0
